0,1,2,3,4,5,6,7,8,9,10,11,id
21.96,23.13,33.41,45.89,57.29,66.88,71.18,68.95,61.82,50.1,37.53,26.56,2009
22.33,23.41,33.42,45.76,57.15,66.82,71.36,69.27,62.13,50.46,38.09,27.09,2010
2.89,8.02,22.47,40.41,53.61,63.21,68.21,65.83,56.04,43.51,25.49,9.97,2101
3.3,8.53,22.28,39.07,52.04,61.66,66.72,63.99,54.67,42.85,25.73,10.19,2102
4.2,8.93,21.66,37.17,49.9,59.25,64.47,62,53.17,41.58,25.29,10.46,2103
8.33,13.21,26.65,43.04,55.99,65.58,70.75,68.32,58.78,46.12,29.09,14.44,2104
9.33,14.1,27.38,43.43,56.11,65.75,70.74,68.03,58.93,46.51,29.88,15.3,2105
8.16,12.89,26.14,41.87,54.16,63.58,68.82,66.2,57.24,45.31,29.05,14.39,2106
12.37,16.93,29.42,44.66,57.2,66.86,71.77,69.19,60.36,47.92,31.4,17.6,2107
12.69,17.3,30.21,45.38,57.83,67.53,72.09,69.44,60.92,48.62,32.23,18.25,2108
12.76,17.13,29.96,44.96,56.96,66.44,71.19,68.69,60.18,48.14,32.31,18.49,2109
41.93,45.4,53.76,62.82,71.26,78.8,81.6,80.66,74.8,63.61,52.31,44.22,2201
41.38,44.64,52.92,61.92,70.19,77.71,80.73,79.86,74.11,62.81,51.58,43.62,2202
40.66,43.77,52.06,61.03,69.31,76.88,79.95,79.24,73.43,61.93,50.8,42.82,2203
44.43,47.78,55.76,64.1,72.14,79.28,81.75,81.08,75.64,64.8,54,46.44,2204
44.55,47.65,55.3,63.18,70.94,78,80.54,80.05,74.91,63.98,53.43,46.29,2205
43.71,46.82,54.6,62.7,70.7,77.94,80.58,80.08,74.75,63.54,52.84,45.55,2206
47.57,50.69,57.86,65.12,72.51,79.03,81.14,80.8,76.28,66.06,55.87,49.21,2207
47.93,50.94,57.82,64.96,72.35,78.88,80.9,80.51,75.99,65.74,55.77,49.37,2208
47.28,50.36,57.3,64.55,72.04,78.69,80.8,80.35,75.68,65.16,55.16,48.76,2209
50.09,52.99,59.36,66,73.06,79.13,80.82,80.61,76.77,67.34,57.63,51.6,2210
25.36,29.79,40.85,52.76,63.28,72.45,77.16,75.17,67.06,55.54,41.32,29.57,2301
27.17,31.03,41.74,53.47,63.66,72.66,77.2,75.36,67.59,56.06,42.43,31.2,2302
30.09,34.09,44.26,55.26,64.85,73.66,78.33,76.99,69.09,57.72,44.41,33.79,2303
32.8,36.53,45.76,56.12,64.8,73.21,77.71,76.68,69.23,58.13,45.6,35.78,2304
32.11,35.71,45.17,55.91,64.69,73.03,77.23,75.78,68.43,57.16,44.93,35.04,2305
35.33,38.82,48.26,58.79,68.05,76.5,79.86,78.24,71.35,59.93,47.63,38.22,2306
20.7,24.24,30.57,38.96,47.01,53.78,61.41,59.95,51.16,40.8,29.03,22.64,2401
18.6,21.78,27.43,36.25,44.92,52.45,60.69,59.04,50.01,39.68,27.49,20.27,2402
15.69,19.51,28.56,41.34,51.22,59.19,66.28,64.47,54.15,43.47,29.12,19.92,2403
20.36,23.65,30.52,40.81,49.84,57.81,65.46,63.91,54.02,43.73,31.2,23.34,2404
20.68,24.07,31.25,41.32,50.41,58.9,66.74,65,54.92,44.15,31.33,23.29,2405
11.14,15.59,27.29,42.38,53.26,62.15,69.31,67.27,56.08,43.99,27.99,16.2,2406
16.89,21.04,30.94,43.58,53.74,63.13,71.04,68.91,57.76,45.58,31,20.69,2407
23.83,27.05,34.84,45,54.88,65.07,72.03,70,60.22,47.93,34.45,25.57,2501
21.57,25.11,34.48,46.55,57.22,67.18,73.67,71.48,61.91,49.51,34.74,24.41,2502
19.23,23.41,34.8,48.36,59.64,69.49,74.75,72.23,63.3,50.97,35.47,23.15,2503
22.59,26.51,36.32,48.4,58.93,69.04,74.72,72.59,63.48,51.06,36.34,25.42,2505
21.79,26.14,37.17,50.07,60.99,70.87,76,73.62,64.93,52.8,37.56,25.56,2506
25.35,29.23,37.8,48.82,58.99,69.22,75.47,73.37,64.02,51.45,37.24,27.4,2507
24.55,28.88,38.57,50.36,60.55,70.86,76.52,74.45,65.36,52.94,38.23,27.33,2508
23.66,28.29,38.99,51.37,61.96,71.88,77.14,74.93,66.22,54.06,39.13,27.45,2509
30.02,34.41,39.74,46.13,54.44,63.07,71.89,69.78,61.13,50.17,38.43,30.77,2601
25.85,29.52,35.17,42.12,50.54,59.53,68.42,66.26,57.35,46.37,34.83,26.85,2602
31.54,35.25,40.86,47.93,56.31,66.06,73.4,71.13,63.16,51.97,40.25,32.35,2603
44.13,48.14,53.77,61.21,69.99,79.84,86.12,84.18,76.79,65.02,52.57,44.37,2604
13.52,14.98,25.19,37.98,50.39,59.39,64.29,62.04,54.63,43.6,31.6,18.71,2701
19.29,20.85,30.59,42.39,54.09,62.75,67.98,65.6,58.11,47.16,35.83,24.06,2702
26.89,28.21,37.11,48.23,58.74,67.28,72.17,70.19,63.36,52.23,41.31,30.91,2801
31.47,32.56,40.83,50.75,61.11,69.9,74.86,73.1,66.58,55.36,44.77,35.08,2802
32.4,33.02,40.51,49.71,59.83,68.86,74.25,73.03,66.98,56.18,45.65,36.12,2803
27.72,32.77,39.36,47.09,56.08,65.94,71.33,69.06,61.93,50.6,38.03,28.91,2901
27.13,30.76,36.79,44.46,53.16,62.37,66.52,64.84,58.33,47.96,36.24,28.11,2902
34.91,38.51,45.19,53.79,62.79,72.13,75.67,74.07,66.91,55.94,43.72,35.42,2903
31.04,34.57,39.77,46.83,55.27,64.51,67.98,65.71,60.12,50.2,39.07,31.61,2904
36.23,40.92,47.06,54.76,63.6,72.86,75.7,73.65,67.35,56.55,44.38,36.38,2905
32.56,36.01,41.55,48.94,57.48,66.5,69.06,67.38,61.5,51.64,40.53,33.1,2906
39.01,42.94,49.43,57.8,66.36,74.97,77.16,75.82,69.12,58.93,47.19,39.45,2907
40.64,44.76,50.49,57.94,66.56,75.82,78.05,76.03,70.48,60.2,48.39,40.82,2908
21.74,22.57,31.61,43.55,54.84,63.43,67.75,65.87,59.31,48.3,37.07,26.36,3001
20.94,21.92,31.06,43.22,54.64,63.17,67.84,65.85,58.94,47.96,36.75,25.64,3002
14.31,15.57,25.59,38.85,51.46,60.22,64.77,62.57,55.43,44.24,32.16,19.6,3003
30.22,30.7,38.29,47.9,58.14,67.35,73.05,71.7,65.24,54.72,44.33,34.51,3004
22.96,24.38,34.1,46.16,57.43,66,70.94,68.75,61.47,50.36,39,27.79,3005
19.22,20.41,30.22,43.25,55.32,64.08,68.86,66.73,59.5,48.19,36.39,24.46,3006
15.82,17.15,27.61,41.06,53.51,62.44,67.31,64.94,57.41,46.13,33.99,21.33,3007
14.53,16.06,26.97,41.21,53.85,62.92,67.64,65.4,57.81,46.38,34.11,20.44,3008
21.69,22.27,31.48,43.75,55.28,64.6,69.53,67.67,60.8,49.61,38.24,26.96,3009
22.2,22.9,31.86,43.98,55.57,64.68,69.47,67.52,60.61,49.47,38.13,27.2,3010
35.78,38.02,45.12,53.66,61.86,68.65,71.59,70.63,65.42,54.98,44.97,37.6,3101
34.96,37.11,44.56,53.38,61.96,69.21,72.38,71.22,65.63,54.92,44.73,36.87,3102
38.2,40.31,48.2,57.32,66.13,73.77,77.2,75.78,69.7,58.56,48.21,40.05,3103
39.32,41.59,49.35,58.19,66.89,74.32,77.56,76.25,70.45,59.42,49.01,41.02,3104
40.9,43.23,50.75,59.55,68.23,75.46,78.58,77.29,71.69,60.62,50.32,42.44,3105
43.68,45.6,52.81,61,69.33,76.22,79.28,78.18,73.19,62.66,52.7,45.22,3106
42.98,44.53,51.78,60.16,68.72,75.8,79.17,78.08,73,62.55,52.53,44.91,3107
40.7,42.34,49.82,58.53,67.31,74.8,78.4,77.13,71.76,61.07,50.83,42.87,3108
6.53,11.01,23.56,40.66,52.79,61.87,67.94,65.8,55.29,42.85,25.5,12.45,3201
4.02,8.72,22.14,40.19,53.03,62.32,67.94,65.65,55.39,42.63,24.46,10.31,3202
2.54,7.45,21.45,39.73,53.11,62.57,67.77,65.6,55.55,42.67,24.18,9.22,3203
9.46,13.9,26.11,42.01,53.67,62.88,69.37,67.44,56.84,44.31,27.58,15.06,3204
6.07,10.55,23.98,40.98,53.57,63.14,69.04,66.71,56.49,43.71,26.01,12.23,3205
5.44,10.35,24.61,41.83,54.79,64.32,69.74,67.49,57.38,44.5,26.61,11.97,3206
12.87,16.88,27.7,42.05,53.19,62.63,69.76,67.73,56.93,44.38,28.84,17.62,3207
9.69,13.94,26.53,42.45,54.36,63.83,70.39,68.21,57.83,44.85,27.89,15.18,3208
8.09,12.55,26.19,42.53,54.99,64.54,70.29,68.03,57.98,45.2,27.88,14.05,3209
24.83,26.67,36.83,48.54,59.97,69.42,73.48,71.21,64.52,52.55,40.11,29.06,3301
25.64,27.34,36.76,48.23,59.59,68.96,73.06,70.91,64.53,52.87,40.67,29.94,3302
24.99,26.09,35.3,46.64,57.68,66.7,70.99,69.06,62.83,51.52,39.9,29.48,3303
25.95,28.22,38.18,49.51,60.54,69.54,73.35,71.3,64.86,52.92,40.63,29.9,3304
27.14,29.51,39.16,50.25,61.06,69.73,73.54,71.62,65.15,53.25,41.27,30.99,3305
25.7,27.57,37.11,48.27,59.05,67.84,71.77,69.85,63.51,51.8,40.06,29.68,3306
26.37,28.03,37.34,48.36,59.02,67.55,71.62,69.82,63.53,51.83,40.34,30.28,3307
28.68,31.11,40.71,51.57,61.97,70.56,74.37,72.56,66.15,54.11,42.23,32.25,3308
30.57,33.03,42.22,52.69,62.45,70.47,74.19,72.7,66.41,54.6,43.17,33.8,3309
28.71,30.91,40.24,50.96,61.02,69.22,73.04,71.48,65.17,53.41,41.87,32.15,3310
33.5,37.35,45.34,55.42,64.85,74.76,79.6,78.12,70.01,57.87,44.33,34.97,3401
33.81,38.34,47.33,57.8,67.18,76.87,81.88,80.74,72.38,60.3,46.43,36.13,3402
35.07,39.58,48.68,59.25,67.8,76.47,81.3,80.44,72.58,61.12,48.1,38.05,3403
35.63,39.91,48.49,58.56,67.68,77.11,81.79,80.76,72.64,60.74,47.31,37.53,3404
36.92,41.38,50.12,60.29,68.73,77.5,82.25,81.56,73.71,62.18,49.25,39.42,3405
38.2,42.47,51.03,60.86,68.84,77.15,81.67,81.12,73.75,62.62,50.22,40.95,3406
38.21,42.55,51.19,60.99,69.74,78.8,83.15,82.41,74.5,62.84,49.8,40.13,3407
40.05,44.42,52.77,62.19,70.17,78.55,82.87,82.57,75.14,63.86,51.67,42.45,3408
40.04,43.94,51.93,61.06,68.83,76.74,80.79,80.43,73.69,62.65,50.92,42.25,3409
40.65,42.72,44.32,47.54,52.26,56.93,61.77,62.19,59.6,52.92,45.41,41.44,3501
